ticket_id,created_at,resolved_at,severity,status,agent_id,category_id,branch_id,sla_met
1,2026-02-15 12:17:46,2026-02-15 19:26:21,Medium,Resolved,2,3,2,True
2,2026-01-12 07:48:15,2026-01-12 11:31:49,Low,Closed,10,4,8,True
3,2025-10-23 12:38:44,2025-10-24 00:55:04,Medium,Resolved,3,2,2,True
4,2026-01-07 08:02:43,2026-01-08 04:26:15,High,Resolved,6,10,6,True
5,2026-01-30 14:00:30,,Critical,In Progress,8,5,8,True
6,2025-12-22 03:32:40,2025-12-22 13:34:01,Medium,Closed,4,10,3,False
7,2026-04-06 11:04:14,2026-04-06 22:24:49,Medium,Closed,4,4,1,True
8,2026-05-07 06:50:40,,Critical,In Progress,6,8,7,True
9,2025-10-16 09:32:05,2025-10-16 13:40:44,Low,Closed,10,10,7,True
10,2026-02-16 21:42:03,2026-02-16 22:12:03,Low,Closed,10,7,8,True
11,2025-07-29 18:56:13,2025-07-30 09:36:31,Medium,Resolved,4,5,7,True
12,2026-05-21 07:38:31,2026-05-21 11:02:47,Low,Closed,6,10,4,True
13,2025-06-30 23:20:52,,High,In Progress,8,4,1,True
14,2025-09-08 16:27:24,2025-09-11 11:50:45,Critical,Resolved,6,8,3,True
15,2025-07-14 08:21:27,2025-07-14 14:18:54,Medium,Closed,3,8,8,True
16,2026-05-15 12:04:34,2026-05-15 19:15:19,Medium,Closed,1,4,2,True
17,2025-08-10 17:27:56,,Medium,In Progress,2,8,7,True
18,2025-07-10 10:34:40,2025-07-11 13:39:08,High,Resolved,9,2,1,True
19,2025-06-17 15:53:02,2025-06-17 22:40:22,Low,Resolved,8,9,2,True
20,2025-05-29 13:05:22,2025-05-30 00:47:30,Medium,Resolved,4,3,7,True
21,2025-08-10 07:37:35,2025-08-10 18:50:42,Medium,Resolved,9,8,3,True
22,2026-04-24 16:04:15,,Medium,Open,1,9,2,True
23,2025-11-07 16:33:33,,Low,In Progress,1,10,2,True
24,2025-06-01 16:06:34,2025-06-02 01:24:22,Medium,Resolved,2,5,8,True
25,2025-07-28 15:45:25,,Low,Open,4,6,5,True
26,2026-05-25 09:16:44,,Critical,In Progress,9,9,5,True
27,2026-02-19 11:32:15,2026-02-19 18:44:32,Low,Closed,2,6,4,True
28,2026-03-12 18:27:22,2026-03-12 22:07:11,Medium,Resolved,2,5,3,True
29,2026-04-02 21:23:51,2026-04-03 20:06:49,Critical,Closed,4,6,3,True
30,2026-04-29 09:56:33,2026-04-29 22:39:39,Medium,Closed,6,3,4,True
31,2025-07-29 12:49:53,2025-07-30 17:49:09,High,Closed,6,4,5,True
32,2026-02-09 12:17:18,2026-02-09 18:54:07,High,Resolved,4,4,1,True
33,2026-05-28 11:11:28,2026-05-30 03:04:50,Critical,Resolved,8,9,6,True
34,2025-09-04 13:00:09,2025-09-04 16:56:41,Low,Closed,1,7,4,True
35,2025-12-11 13:20:27,,Medium,Open,4,6,7,True
36,2025-11-02 07:19:41,2025-11-02 08:56:42,Low,Resolved,9,3,5,True
37,2025-09-15 17:39:51,2025-09-16 03:54:38,Medium,Resolved,10,3,2,True
38,2025-06-25 17:36:29,2025-06-26 08:31:05,High,Closed,7,4,3,True
39,2025-08-05 00:22:57,2025-08-05 03:58:25,Medium,Resolved,4,7,4,True
40,2026-03-18 00:26:25,,Medium,Open,2,8,6,True
41,2025-09-13 09:43:44,,Medium,In Progress,2,8,8,True
42,2026-05-10 09:09:48,2026-05-10 12:04:59,Low,Resolved,3,6,6,True
43,2025-12-23 17:34:45,2025-12-23 19:42:03,Medium,Resolved,2,7,7,True
44,2026-02-12 13:46:14,2026-02-12 16:44:50,Low,Resolved,1,7,6,True
45,2025-07-20 09:48:39,2025-07-20 14:01:24,Low,Resolved,1,2,7,True
46,2025-09-03 16:20:27,2025-09-03 20:20:12,Low,Resolved,10,5,7,True
47,2025-08-14 03:10:34,2025-08-14 06:31:19,Low,Resolved,7,1,4,True
48,2025-08-01 18:45:29,2025-08-02 07:07:18,Medium,Resolved,8,5,6,True
49,2025-06-27 17:15:18,2025-06-27 17:45:18,Low,Resolved,5,7,4,True
50,2025-12-21 12:04:44,2025-12-21 21:38:01,High,Closed,6,1,6,True
51,2025-09-10 15:49:01,,Low,Open,5,3,7,True
52,2025-08-31 09:58:19,2025-09-01 00:30:47,Medium,Resolved,4,5,8,True
53,2026-04-03 11:56:11,2026-04-03 17:47:41,Low,Resolved,10,4,6,True
54,2025-11-18 18:17:22,2025-11-18 20:32:47,Low,Resolved,2,8,8,True
55,2025-11-09 22:58:58,2025-11-10 04:21:24,Medium,Resolved,10,9,6,True
56,2025-12-18 08:53:12,2025-12-18 14:39:04,Low,Closed,2,4,4,True
57,2025-12-29 09:40:45,2025-12-29 15:15:12,Low,Resolved,3,1,1,True
58,2026-04-28 08:25:24,2026-04-28 13:00:16,Medium,Resolved,2,1,5,True
59,2025-07-13 13:38:54,2025-07-13 16:33:35,Medium,Resolved,5,2,4,True
60,2026-01-20 11:10:18,2026-01-20 19:48:13,High,Resolved,8,5,1,True
61,2025-07-28 14:44:23,2025-07-28 19:58:50,Medium,Resolved,2,3,2,True
62,2025-11-09 10:41:56,2025-11-09 16:51:13,Medium,Closed,2,5,4,True
63,2025-11-15 18:19:24,2025-11-16 00:31:42,Low,Resolved,6,10,5,True
64,2026-02-13 19:07:06,2026-02-13 22:17:16,Low,Resolved,3,10,5,True
65,2025-11-27 12:20:51,2025-11-27 17:28:05,Low,Resolved,3,3,7,True
66,2025-05-29 15:29:43,,Low,Open,6,1,8,True
67,2026-02-28 15:00:19,2026-02-28 20:12:56,Medium,Closed,4,4,5,True
68,2026-05-25 21:57:23,,Critical,Open,4,3,8,True
69,2025-10-24 16:32:50,,Low,In Progress,7,8,3,True
70,2026-01-08 22:16:39,2026-01-09 03:45:26,Low,Closed,5,9,5,True
71,2026-01-05 13:02:25,2026-01-06 01:02:20,Medium,Resolved,3,4,4,True
72,2026-05-03 05:02:41,,Medium,Open,2,8,1,True
73,2026-03-28 05:20:37,2026-03-28 08:19:22,Low,Resolved,4,2,8,True
74,2025-08-25 01:19:32,,High,In Progress,5,8,1,True
75,2026-05-14 12:50:21,2026-05-14 14:07:39,Low,Closed,5,3,5,True
76,2025-06-28 13:39:18,2025-06-28 16:21:50,Medium,Resolved,2,3,3,True
77,2025-06-26 12:37:34,2025-06-26 20:42:13,Medium,Resolved,5,5,3,True
78,2025-08-28 12:36:02,2025-08-28 20:20:11,Medium,Resolved,10,8,2,True
79,2026-04-17 03:37:16,2026-04-17 10:49:15,Medium,Resolved,6,1,8,True
80,2026-01-27 17:41:48,2026-01-28 01:56:49,Medium,Resolved,6,5,3,True
81,2025-10-17 11:53:21,,Low,Open,10,3,4,True
82,2025-06-26 10:55:27,,Critical,Open,5,2,8,True
83,2025-09-08 14:23:57,,Medium,In Progress,1,7,1,True
84,2025-08-22 17:52:30,2025-08-23 00:51:48,Medium,Closed,5,2,4,True
85,2025-07-12 15:08:16,2025-07-12 16:24:14,Medium,Resolved,1,5,8,True
86,2026-01-22 11:02:40,2026-01-23 02:07:27,Medium,Closed,5,2,8,True
87,2026-04-13 17:13:03,2026-04-13 21:49:26,Medium,Resolved,3,9,6,True
88,2026-04-15 23:27:46,2026-04-16 09:04:39,High,Resolved,6,4,2,True
89,2026-04-27 01:55:29,2026-04-28 05:52:00,High,Resolved,6,1,5,True
90,2025-06-03 07:08:25,,Low,In Progress,3,4,6,True
91,2025-11-20 16:02:45,2025-11-20 23:39:19,Medium,Resolved,6,10,2,True
92,2026-04-22 17:06:41,2026-04-23 02:25:45,Medium,Resolved,4,1,8,True
93,2025-07-12 03:24:59,2025-07-12 10:34:35,Medium,Resolved,3,7,5,True
94,2026-04-15 13:46:22,2026-04-15 16:28:17,Medium,Resolved,2,7,6,True
95,2025-07-05 05:02:44,,Low,Open,1,2,7,True
96,2025-06-17 16:30:43,,Low,Open,1,7,6,True
97,2026-04-22 08:48:04,2026-04-22 19:25:42,Medium,Resolved,4,2,6,True
98,2026-01-03 08:09:42,2026-01-03 17:53:20,Medium,Closed,6,10,1,True
99,2026-05-06 09:48:45,2026-05-06 17:30:11,Medium,Resolved,3,6,2,True
100,2025-08-20 10:14:54,2025-08-20 12:46:18,Low,Closed,10,7,5,True
101,2025-05-31 10:49:55,2025-05-31 20:13:24,Medium,Closed,10,10,1,True
102,2025-12-21 13:01:38,2025-12-21 18:50:21,Low,Resolved,4,3,7,True
103,2026-01-06 17:26:20,2026-01-06 22:53:19,High,Resolved,1,6,7,True
104,2025-11-14 07:26:55,2025-11-15 04:58:54,Critical,Resolved,8,6,2,True
105,2025-12-20 12:22:43,2025-12-20 15:05:15,Low,Resolved,2,2,2,True
106,2026-03-19 22:43:12,2026-03-21 03:26:49,High,Resolved,4,3,3,True
107,2026-04-29 08:21:52,2026-04-29 14:40:11,Medium,Closed,6,10,6,True
108,2025-12-11 14:28:21,2025-12-11 20:14:20,Medium,Closed,6,1,6,True
109,2025-11-19 08:49:18,2025-11-21 05:16:46,Critical,Resolved,8,8,1,True
110,2026-03-02 17:11:12,2026-03-03 07:16:15,Medium,Resolved,8,2,6,False
111,2026-02-04 12:06:23,2026-02-04 21:38:01,Medium,Closed,3,7,7,True
112,2025-06-29 09:58:12,,Low,In Progress,9,3,6,False
113,2026-02-02 14:47:30,2026-02-03 01:05:42,Medium,Resolved,1,5,7,True
114,2025-06-04 09:13:15,2025-06-04 11:43:36,Medium,Closed,10,9,6,True
115,2026-02-09 16:08:39,,Low,Escalated,3,2,1,True
116,2025-06-14 17:46:34,2025-06-14 20:14:16,Low,Resolved,6,3,8,True
117,2026-02-16 03:16:40,2026-02-16 12:24:10,Medium,Resolved,10,4,6,False
118,2026-04-04 11:03:38,2026-04-04 22:38:15,Medium,Resolved,10,3,4,True
119,2026-05-25 07:25:37,,High,In Progress,4,5,8,True
120,2026-04-19 14:41:23,,Low,Escalated,1,6,2,True
121,2026-01-22 08:01:41,,Low,Open,2,8,8,True
122,2025-09-22 10:26:57,2025-09-22 14:49:56,Medium,Closed,1,5,4,True
123,2026-01-29 10:45:49,2026-01-29 13:46:31,Medium,Resolved,5,10,1,True
124,2025-10-27 08:17:33,2025-10-27 18:40:08,Medium,Closed,3,2,1,True
125,2025-08-30 08:27:23,2025-08-30 17:20:04,Medium,Resolved,5,2,6,True
126,2026-01-29 09:04:17,2026-01-29 09:50:26,Low,Resolved,4,8,8,True
127,2025-12-14 15:30:23,2025-12-14 19:31:59,Low,Resolved,4,6,5,True
128,2025-10-07 09:03:01,,High,In Progress,4,6,7,True
129,2025-11-11 09:34:58,2025-11-11 22:22:25,High,Resolved,9,7,2,True
130,2026-01-22 11:49:52,2026-01-22 20:39:16,Low,Resolved,10,3,8,True
131,2025-07-23 03:48:03,2025-07-23 10:35:01,Medium,Resolved,6,3,1,True
132,2026-01-18 14:23:33,2026-01-18 18:36:25,Low,Resolved,5,7,1,True
133,2025-12-08 15:07:36,2025-12-08 17:55:09,Medium,Closed,1,1,3,True
134,2025-07-15 08:28:49,2025-07-15 10:54:46,Low,Resolved,8,8,4,True
135,2026-05-09 09:45:48,,Critical,Escalated,9,2,5,True
136,2026-03-31 12:35:39,2026-03-31 13:05:39,Low,Resolved,2,3,4,True
137,2026-03-03 03:18:19,2026-03-04 18:26:11,Critical,Resolved,7,5,7,True
138,2026-02-01 09:27:41,2026-02-01 19:34:55,Critical,Closed,6,9,6,True
139,2025-10-10 02:10:07,2025-10-10 19:28:48,High,Resolved,4,6,4,True
140,2025-12-09 16:37:16,2025-12-11 10:09:58,Critical,Resolved,9,9,2,True
141,2025-06-29 17:49:06,2025-06-29 21:50:41,Medium,Closed,6,1,1,True
142,2025-08-31 19:25:39,2025-08-31 21:52:33,Medium,Resolved,5,5,8,True
143,2025-10-07 12:55:28,2025-10-07 16:31:50,Low,Resolved,10,8,4,False
144,2025-07-15 10:09:13,2025-07-15 10:39:13,Low,Resolved,3,4,8,True
145,2025-08-10 10:22:55,2025-08-10 13:42:03,Medium,Closed,2,6,6,True
146,2025-06-16 14:38:36,,Low,Open,2,4,6,True
147,2026-05-06 12:48:00,2026-05-06 20:21:56,Medium,Resolved,1,7,3,True
148,2026-03-17 16:32:07,2026-03-17 21:04:51,Low,Closed,3,2,7,True
149,2026-05-25 09:25:08,2026-05-26 03:58:58,High,Resolved,6,3,6,False
150,2025-11-29 03:19:11,2025-11-29 06:10:08,Medium,Resolved,10,10,5,True
151,2025-09-08 19:55:22,2025-09-08 20:25:22,High,Closed,7,10,8,True
152,2025-07-25 02:22:09,2025-07-25 09:12:55,High,Closed,9,8,3,True
153,2026-05-02 16:15:02,2026-05-02 21:30:55,Medium,Resolved,2,7,8,True
154,2025-09-27 13:23:10,2025-09-27 16:27:57,Medium,Closed,8,9,7,True
155,2025-08-11 09:01:54,2025-08-12 00:57:12,High,Closed,8,10,8,True
156,2026-03-04 08:36:58,,Low,Open,8,4,8,True
157,2025-09-17 09:54:32,,Critical,In Progress,7,5,1,True
158,2025-07-21 18:37:36,2025-07-22 02:42:48,Medium,Closed,3,9,5,True
159,2026-02-17 06:10:10,2026-02-17 10:48:48,Low,Resolved,3,8,2,True
160,2026-03-18 06:36:06,2026-03-18 13:58:12,High,Resolved,8,8,4,True
161,2025-06-11 19:42:42,2025-06-11 20:46:41,Medium,Resolved,4,3,7,True
162,2026-01-04 12:18:17,,Critical,Open,7,1,5,True
163,2026-04-07 09:46:30,,Medium,In Progress,10,5,4,True
164,2026-04-14 12:05:13,2026-04-14 20:45:28,Low,Closed,6,4,3,True
165,2025-09-22 16:00:21,2025-09-25 02:20:33,Critical,Resolved,5,5,6,True
166,2025-11-02 18:49:24,2025-11-03 09:24:48,Medium,Resolved,5,5,3,True
167,2026-03-18 17:52:06,2026-03-19 07:51:30,Medium,Resolved,2,8,6,True
168,2025-06-28 00:58:12,,High,In Progress,10,9,6,True
169,2025-07-12 18:37:07,2025-07-13 19:36:40,High,Resolved,7,6,8,True
170,2025-10-29 07:47:34,2025-10-29 10:30:14,Low,Resolved,10,5,1,True
171,2025-06-10 09:49:25,2025-06-10 13:44:58,Medium,Closed,1,2,8,True
172,2025-07-19 12:07:17,,Medium,In Progress,10,7,2,True
173,2025-11-24 15:27:32,2025-11-24 18:26:13,Medium,Closed,1,1,5,True
174,2025-06-10 05:17:13,2025-06-11 00:57:29,High,Resolved,5,4,2,True
175,2026-03-26 15:18:14,2026-03-26 15:48:14,Low,Resolved,1,4,1,True
176,2026-05-04 17:33:10,2026-05-05 02:09:52,Medium,Closed,5,4,5,True
177,2026-02-13 15:20:57,,Critical,In Progress,9,7,8,True
178,2026-05-18 13:26:20,2026-05-18 19:06:06,Low,Resolved,2,4,5,True
179,2025-07-03 10:03:36,2025-07-03 12:48:20,Low,Resolved,1,8,6,True
180,2025-08-17 19:59:14,2025-08-17 21:34:32,Low,Closed,6,4,8,True
181,2025-12-29 11:24:07,,Low,Open,7,8,4,True
182,2026-04-05 11:47:35,2026-04-06 00:31:54,Medium,Resolved,10,8,2,True
183,2025-12-29 14:14:15,2025-12-29 14:44:32,Medium,Closed,2,1,5,True
184,2025-12-08 17:21:37,2025-12-09 01:01:06,Medium,Resolved,10,10,4,False
185,2026-02-01 23:05:51,2026-02-02 14:30:59,Medium,Resolved,3,3,3,True
186,2026-04-20 08:45:09,,Low,In Progress,1,7,3,True
187,2025-05-31 13:00:53,2025-05-31 16:35:02,Low,Resolved,10,8,1,True
188,2025-12-18 10:39:34,2025-12-18 13:46:46,Medium,Closed,2,2,2,True
189,2026-02-23 17:52:48,2026-02-23 23:33:37,Low,Resolved,10,8,4,True
190,2026-01-30 09:05:20,2026-01-30 17:34:18,High,Resolved,6,8,1,True
191,2025-08-25 18:56:44,2025-08-26 07:08:07,High,Closed,7,9,1,True
192,2025-06-03 18:56:38,2025-06-04 01:38:52,Medium,Resolved,1,3,6,True
193,2026-01-03 18:59:19,2026-01-04 05:50:50,Medium,Resolved,2,10,4,True
194,2025-07-05 08:21:51,,Low,Escalated,6,6,1,True
195,2025-08-25 13:27:14,,Medium,Open,3,8,8,True
196,2025-07-27 14:57:53,2025-07-27 20:47:27,Medium,Resolved,5,4,2,True
197,2025-07-01 14:35:09,2025-07-01 18:11:57,Low,Resolved,3,2,3,True
198,2026-05-15 06:08:45,2026-05-15 10:23:52,Low,Closed,10,1,5,True
199,2025-06-22 11:26:33,2025-06-22 20:12:51,Medium,Resolved,3,8,3,True
200,2025-10-23 05:49:51,2025-10-23 10:07:25,Medium,Resolved,5,2,3,True
201,2026-01-17 23:20:11,,High,In Progress,7,5,6,True
202,2025-10-02 13:23:47,,Critical,Open,6,8,4,True
203,2026-02-27 11:53:34,2026-02-27 22:53:09,Medium,Resolved,6,1,8,True
204,2025-06-26 16:30:18,2025-06-26 18:02:07,Medium,Closed,2,7,7,True
205,2025-07-10 04:23:48,,High,In Progress,4,6,2,True
206,2026-04-02 07:06:41,2026-04-02 10:17:03,Medium,Resolved,9,7,6,True
207,2025-07-12 18:50:40,2025-07-13 02:31:12,Medium,Resolved,2,6,1,True
208,2025-11-14 21:00:09,2025-11-15 01:33:14,Low,Closed,3,8,2,True
209,2025-12-29 15:27:36,2025-12-29 19:42:27,Low,Resolved,2,4,3,True
210,2026-03-11 10:28:27,2026-03-11 12:04:54,Low,Resolved,10,7,1,True
211,2025-10-17 14:07:17,,High,In Progress,1,9,3,True
212,2025-10-10 14:39:33,2025-10-11 02:40:36,Medium,Closed,10,10,2,True
213,2025-07-13 08:11:00,,High,Open,9,3,6,True
214,2025-12-30 11:08:36,2025-12-30 22:10:50,Medium,Closed,10,3,8,True
215,2025-11-03 13:45:30,2025-11-04 09:27:33,Critical,Resolved,5,9,8,True
216,2025-12-28 16:07:09,2025-12-28 16:37:09,Medium,Resolved,2,5,1,True
217,2025-09-21 07:50:54,2025-09-21 19:17:13,High,Closed,4,7,2,True
218,2026-04-08 13:17:49,2026-04-09 14:21:10,High,Resolved,7,4,4,True
219,2025-12-21 15:10:59,2025-12-21 18:58:30,Medium,Closed,4,10,6,True
220,2026-03-16 00:23:02,2026-03-16 09:50:30,Low,Resolved,6,2,3,True
221,2025-12-04 17:17:09,,Low,In Progress,3,4,7,True
222,2026-02-22 12:06:25,2026-02-22 13:03:04,Low,Closed,5,9,5,True
223,2026-01-30 12:54:33,2026-01-30 15:32:23,Low,Resolved,6,2,8,True
224,2026-05-10 07:02:31,2026-05-10 10:44:27,Low,Resolved,5,9,3,True
225,2025-11-10 18:58:42,2025-11-11 06:53:41,Medium,Resolved,5,8,1,True
226,2026-02-10 18:40:15,2026-02-12 21:37:28,Critical,Resolved,8,2,6,True
227,2025-08-19 09:37:46,2025-08-19 13:30:47,Low,Closed,1,2,1,True
228,2025-08-25 18:51:22,,High,Escalated,4,8,2,True
229,2025-12-20 16:41:43,,Low,In Progress,2,3,2,True
230,2025-07-01 08:59:27,2025-07-01 12:44:37,Low,Closed,9,8,4,True
231,2026-02-03 15:38:57,2026-02-03 18:13:39,Medium,Resolved,2,4,5,True
